"","X","index","age","target_label","session_id","correct_or_not","target_label_prob","airplane_prob","bike_prob","bird_prob","car_prob","cat_prob","chair_prob","cup_prob","hat_prob","house_prob","rabbit_prob","tree_prob","watch_prob"
"23",0,1017,4,"cat","photodraw_e21548451296118",0,0.0694090772206728,0.0705475931070338,0.0577568991553621,0.0779474453368355,0.0690173859813129,0.0694090772206728,0.0947424546628371,0.0816767034131125,0.0898576048058584,0.126867115186916,0.0776544512194935,0.0886477178623357,0.0958755520482293
"24",0,1018,6,"cat","photodraw_e21548094649748",0,0.103138789070947,0.0718420453279646,0.109977791627294,0.118561101362168,0.0550243259047438,0.103138789070947,0.084361182216774,0.0776862492455291,0.0637566919217836,0.0595120591771474,0.0766534985113613,0.0877722976047527,0.0917139680295356
"25",0,1019,6,"cat","photodraw_e21541613545900",0,0.0867451036922827,0.0911848353666378,0.0498002802976535,0.0986004283282482,0.0735985692460252,0.0867451036922827,0.0859481027538219,0.0826254825005505,0.0540839539453224,0.120637103729501,0.083006824243508,0.111669378268936,0.0620999376275134
"26",0,102,6,"airplane","photodraw_e21548094649748",1,0.117541328459908,0.117541328459908,0.0834750201454115,0.0862100076526642,0.0754222111274307,0.0851499710101925,0.0641626335549849,0.079359819997376,0.0812634728924696,0.0653568916702377,0.0745796942370708,0.10404820345966,0.0834307457925948
"27",0,1020,5,"cat","photodraw_e21541191137910",0,0.0968134785760096,0.100135820488777,0.0642132385096523,0.100240558662554,0.0682067326991819,0.0968134785760096,0.0791030625461459,0.0902681106179528,0.0511225361592668,0.0520650908461381,0.0792705973701175,0.156547056071842,0.0620137174523626
"28",0,1021,5,"cat","photodraw_e21541195324779",0,0.107471710386027,0.110855884522669,0.0975446124708283,0.102997099775647,0.0803132736778134,0.107471710386027,0.0579984698735481,0.0610432400161624,0.0721240540183626,0.0742953205095508,0.0999216375002041,0.0466619756362029,0.0887727216129852
"29",0,1022,8,"cat","photodraw_e21550698482522",0,0.115450160492171,0.0710587148915569,0.0781966676843811,0.132420547981953,0.0755743311755931,0.115450160492171,0.0745051241656563,0.0822183951437697,0.0646521246578056,0.0609860397687956,0.0866812831757195,0.0765007061777239,0.0817559046848744
"30",0,1023,6,"cat","photodraw_e21547073155004",0,0.110642184851078,0.131064799708752,0.048459967285847,0.079939399788778,0.0692267530024849,0.110642184851078,0.0619998338458511,0.0340357017557581,0.0931318526107311,0.115730005858359,0.108560554412214,0.0448765896495284,0.102332357230618
"31",0,1024,7,"cat","photodraw_e21548096758313",0,0.0937312160475082,0.0720003502847144,0.0872451737478693,0.146974617034194,0.0711625660152132,0.0937312160475082,0.0694458019485428,0.100108095456078,0.0673419087880552,0.0488812846126866,0.0736122383272123,0.0741827313629696,0.0953140163749561
"32",0,1025,5,"cat","photodraw_e21542057631101",0,0.109964216203378,0.057456709786247,0.0842511818174237,0.0811441897236527,0.101863737218674,0.109964216203378,0.0703887752690764,0.071011057361863,0.0945120888511184,0.0727765744822953,0.110101175266087,0.0478482961042021,0.0986819979159825
"33",0,1026,8,"cat","photodraw_e21547232289747",0,0.0758101256494545,0.0854215782305323,0.0581673959446346,0.0744028892050625,0.150440892110019,0.0758101256494545,0.0613474487165886,0.0499179603870263,0.0954773670727101,0.098380397433321,0.0692022485740425,0.128826407743107,0.0526052889335014
"34",0,1027,9,"cat","photodraw_e21552764741235",1,0.111372289569527,0.0940464574037611,0.089852540965734,0.0781863425391965,0.077075848532811,0.111372289569527,0.0664258018365399,0.0800148064873134,0.0924583596383503,0.0653557974418642,0.104871717580851,0.0473279861336855,0.0930120518703657
"35",0,1028,4,"cat","photodraw_e21547673281903",0,0.102311894838637,0.071244337358709,0.0645711106334487,0.110834205575915,0.0905805678548521,0.102311894838637,0.0596852986827552,0.0883726033544447,0.0965341360444878,0.0545789693277838,0.070356061506495,0.0730940173266273,0.117836797495845
"36",0,1029,4,"cat","photodraw_e21547668526141",0,0.0899446527430603,0.0806723417493151,0.0678562632539214,0.12528128944732,0.0903543638401842,0.0899446527430603,0.0865908080573945,0.0829379626563807,0.0739473917092755,0.0644591979447481,0.0951823435232804,0.0968540503761296,0.0459193346989904
"37",0,103,4,"airplane","photodraw_e21547672389753",0,0.0864623363260187,0.0864623363260187,0.0750149234101461,0.0788552448899298,0.0692993041806303,0.0921851867656466,0.0798100493540921,0.0959773732329204,0.0832050049017675,0.113784165799241,0.0769179418232945,0.0893748606663676,0.0591136086499458
"38",0,1030,7,"cat","photodraw_e21548873811739",0,0.113197001420172,0.118075248264722,0.0825066368104445,0.100778803151977,0.0591566077055966,0.113197001420172,0.0726996016166885,0.0868929381363725,0.0530075853285135,0.0446868328191079,0.113253329723802,0.0913951929722154,0.0643502220503878
"39",0,1031,4,"cat","photodraw_e21547070395780",1,0.110041618867398,0.104987363866,0.0865706904240319,0.0805652585362806,0.0791587993104026,0.110041618867398,0.0620452262322358,0.0774816985536181,0.0777238374455407,0.0831284894108626,0.104754148858861,0.0445312575687343,0.0890116109260349
"40",0,1032,8,"cat","photodraw_e21547674347301",0,0.0989616587145369,0.108234317670311,0.0895134659452384,0.0739371377779917,0.0743183187371363,0.0989616587145369,0.0705539568401012,0.049314267946453,0.0866916760950737,0.0706530177058663,0.0936579660391539,0.067313870600416,0.116850345927721
"41",0,1033,4,"cat","photodraw_e21547060282520",0,0.0755008340023449,0.0604879942634927,0.059402809261866,0.0815933281274554,0.0764979116325569,0.0755008340023449,0.10788314572293,0.100420920286492,0.0679708285546373,0.117827894524828,0.0631881945816714,0.115790765208699,0.0734353738330264
"42",0,1034,8,"cat","photodraw_e21550689187843",0,0.100376079223221,0.0796031874352634,0.133909678893997,0.067320824591542,0.0926025794725549,0.100376079223221,0.0744889188549646,0.0696907164515448,0.0660230253269305,0.0852761991749039,0.110021996398155,0.0351944018278111,0.0854923923491119
"43",0,1035,7,"cat","IPAD1_THU7M45",0,0.0779362127064597,0.0664734166653431,0.0752162287740769,0.114511542732687,0.126263489210238,0.0779362127064597,0.0864633221939505,0.0826726537206857,0.0931183891399285,0.0593838368225078,0.0747193459390472,0.0821254411469455,0.0611161209481307
"44",0,1036,7,"cat","IPAD1_THU7F31",0,0.102689328879716,0.0630907541485398,0.036463722423137,0.116325960424502,0.0787465656870795,0.102689328879716,0.0770270419084396,0.080322044243044,0.117671056567857,0.0403135457276913,0.0958572632270185,0.0380559517971433,0.153436764965832
"45",0,1037,8,"cat","IPAD1_THU8F13",0,0.101953060387619,0.0612224859812852,0.062343000222729,0.0960819421597862,0.117460423837106,0.101953060387619,0.0708725421662309,0.0516188874882886,0.0803654467260757,0.0664614152126626,0.128967934597697,0.0653996170038874,0.0972532442166317
"46",0,1038,9,"cat","IPAD2_THU9F38",0,0.103070284638268,0.0888303926025941,0.110548614304745,0.109326743865832,0.122833306090694,0.103070284638268,0.0552222460454501,0.0628614414850496,0.0589542684042448,0.0574315206155436,0.107881185336266,0.0625167712568986,0.0605232253544137
"47",0,1039,4,"cat","IPAD4_THU4M7",0,0.0740374614556714,0.0724338695721289,0.145516119148358,0.0986756723722039,0.0416761849884776,0.0740374614556714,0.0506089290574257,0.0961371479042071,0.0939286106260163,0.0607494923095956,0.0754253011512048,0.113535158786996,0.0772760526277141
"48",0,104,9,"airplane","photodraw_e21553793354436",1,0.150976529772943,0.150976529772943,0.0985762990298544,0.0980661163382392,0.0738510423287717,0.0849482856154057,0.0724686291147583,0.0646915210222323,0.0805908357436423,0.0715925688284276,0.0732996595285741,0.059186184356122,0.0717523283210292
"49",0,1040,9,"cat","IPAD2_THU9M23",0,0.0944295180071232,0.077204753047371,0.0721387784740749,0.103471687679376,0.0719793500431993,0.0944295180071232,0.0779725135678525,0.102574763341657,0.090643185684955,0.0608462413667334,0.0741826481470901,0.0806007719245681,0.093955788715999
