"","X","filename","category","pre_tran","post_tran","rotate","translate","scale","site","session_id","rating"
"109",108,"CDM_photodraw_e21549650853022_square.png","square",-0.374943137169,-0.87109041214,0.012924,0.0139393,0.0432541142193242,"CDM","e21549650853022",4
"110",109,"Tsinghua_photodraw_production1575444960513_square.png","square",-0.210575044155,-0.825045406818,0.0175278,0.0431708,0.104384575072629,"Tsinghua","production1575444960513",3
"111",110,"CDM_photodraw_e21547073155004_square.png","square",-0.281441926956,-0.448801606894,0.0203075,0.0133183,0.071566025613945,"CDM","e21547073155004",2
"112",111,"CDM_photodraw_e21541195324779_square.png","square",-0.0804422199726,-0.684078395367,0.0425981,0.0831616,0.0832113467601301,"CDM","e21541195324779",3
"113",112,"Tsinghua_photodraw_production1573780632846_square.png","square",-0.309456884861,-0.547794878483,0.0130926,0.0205547,0.0549259963648078,"Tsinghua","production1573780632846",2
"114",113,"Tsinghua_photodraw_production1573779097000_square.png","square",-0.0466215237975,-0.330080717802,0.00170788,0.0285135,0.0198853173996083,"Tsinghua","production1573779097000",1
"115",114,"CDM_photodraw_e21547849501667_square.png","square",-0.160794109106,-0.713777780533,0.0171681,0.0192285,0.0746590708041892,"CDM","e21547849501667",3
"116",115,"Tsinghua_photodraw_production1576738635229_square.png","square",0.00835660938174,-0.447952628136,0.000886652,0.0194809,0.0366653043543596,"Tsinghua","production1576738635229",2
"117",116,"Tsinghua_photodraw_production1576568201260_square.png","square",0.0214401818812,-0.408296018839,0.000273926,0.0466116,0.0352923467483191,"Tsinghua","production1576568201260",1
"118",117,"CDM_photodraw_e21545255128573_square.png","square",-0.140208631754,-0.578946769238,0.000705612,0.0158787,0.049600811355829,"CDM","e21545255128573",3
"119",118,"CDM_photodraw_e21542225408593_square.png","square",-0.258897781372,-0.663796842098,0.0123403,0.0353435,0.0179739246571071,"CDM","e21542225408593",3
"120",119,"CDM_photodraw_e21543430495947_square.png","square",-0.242867022753,-0.764985263348,0.0413002,0.0137303,0.0656689999635743,"CDM","e21543430495947",3
"121",120,"Tsinghua_photodraw_production1576135913017_square.png","square",-0.299701929092,-0.804879844189,0.0124634,0.0212369,0.0629919580922121,"Tsinghua","production1576135913017",4
"122",121,"Tsinghua_photodraw_production1577085989112_square.png","square",-0.183676451445,-0.743500173092,0.00397766,0.00780527,0.0647660381786655,"Tsinghua","production1577085989112",3
"123",122,"CDM_photodraw_e21541799408496_square.png","square",-0.12206145376,-0.368651717901,0.141895,0.188114,0.358327276485193,"CDM","e21541799408496",0
"124",123,"Tsinghua_photodraw_production1573783854844_square.png","square",-0.0263811219484,-0.611226737499,0.0270909,0.0315353,0.110239404716628,"Tsinghua","production1573783854844",2
"125",124,"CDM_photodraw_e21553637857619_square.png","square",-0.0710272416472,-0.754730343819,0.0188449,0.0162827,0.102063432683706,"CDM","e21553637857619",3
"126",125,"CDM_photodraw_e21542223602317_square.png","square",-0.120594881475,-0.592110753059,0.00277128,0.0233686,0.0458080885166943,"CDM","e21542223602317",3
"127",126,"Tsinghua_photodraw_production1575443337678_square.png","square",-0.176910981536,-0.650516152382,0.021571,0.0178162,0.0655234888071562,"Tsinghua","production1575443337678",3
"128",127,"Tsinghua_photodraw_production1578969773820_square.png","square",-0.284067213535,-0.838697135448,0.0089152,0.00485788,0.0542526102341332,"Tsinghua","production1578969773820",4
"129",128,"CDM_photodraw_e21550689187843_square.png","square",-0.385507196188,-0.873706638813,0.00897055,0.00688957,0.0409794423617382,"CDM","e21550689187843",4
"130",129,"Tsinghua_photodraw_production1573800441750_square.png","square",-0.190566986799,-0.714152276516,0.0102543,0.0248808,0.05790544785369,"Tsinghua","production1573800441750",3
"131",130,"Tsinghua_photodraw_production1577086735995_square.png","square",-0.40366435051,-0.664631724358,0.00729585,0.0221737,0.0464481616712682,"Tsinghua","production1577086735995",3
"132",131,"CDM_photodraw_e21542061442525_square.png","square",-0.358334302902,-0.705976307392,0.0166666,0.0127343,0.0372901391841039,"CDM","e21542061442525",3
"133",132,"Tsinghua_photodraw_production1575442907120_square.png","square",-0.168862506747,-0.424247443676,0.00176733,0.0227781,0.00482108025827947,"Tsinghua","production1575442907120",2
"134",133,"Tsinghua_photodraw_production1577172518020_square.png","square",-0.0703881531954,-0.630439758301,0.00798668,0.0365434,0.0778861317189148,"Tsinghua","production1577172518020",3
"135",134,"CDM_photodraw_e21556311534736_square.png","square",-0.372398436069,-0.660715460777,0.0123564,0.0110331,0.0486477830743819,"CDM","e21556311534736",3
"136",135,"Tsinghua_photodraw_production1575358345480_square.png","square",-0.00830475240946,-0.454997181892,0.000206969,0.0249131,0.0388236462500368,"Tsinghua","production1575358345480",2
"137",136,"Tsinghua_photodraw_production1575443741291_square.png","square",-0.257351279259,-0.656616330147,0.0313809,0.0238569,0.0676732500230933,"Tsinghua","production1575443741291",3
"138",137,"CDM_photodraw_e21542047659207_square.png","square",-0.112778417766,-0.609653651714,0.0153548,0.0245662,0.120843716624008,"CDM","e21542047659207",2
"139",138,"CDM_photodraw_e21547243566891_square.png","square",-0.254476040602,-0.50488704443,0.0203128,0.0339086,0.0398374382215981,"CDM","e21547243566891",2
"140",139,"Tsinghua_photodraw_production1573783652311_square.png","square",0.00114608102012,-0.321408241987,0.0455877,0.0361504,0.17647541004122,"Tsinghua","production1573783652311",1
"141",140,"Tsinghua_photodraw_production1573784627069_square.png","square",-0.14520893991,-0.389489769936,0.0506211,0.0152555,0.0503907076377891,"Tsinghua","production1573784627069",1
"142",141,"Tsinghua_photodraw_production1578968906336_square.png","square",0.0154594732448,-0.484705358744,0.00431032,0.0942186,0.109947731160481,"Tsinghua","production1578968906336",1
"143",142,"Tsinghua_photodraw_production1573782358833_square.png","square",-0.183558031917,-0.337147384882,0.00356412,0.0304,0.0201671765620843,"Tsinghua","production1573782358833",1
"144",143,"Tsinghua_photodraw_production1573783497407_square.png","square",-0.0609201528132,-0.435080945492,0.0110969,0.0579893,0.0241879280427713,"Tsinghua","production1573783497407",2
"145",144,"CDM_photodraw_e21548958550335_square.png","square",-0.258649259806,-0.59686845541,0.00133506,0.0181255,0.0833030858547911,"CDM","e21548958550335",3
"146",145,"CDM_photodraw_e21548441283760_square.png","square",-0.386870443821,-0.78557574749,0.0336609,0.0151572,0.0419688231083974,"CDM","e21548441283760",4
"147",146,"CDM_photodraw_e21547242197593_square.png","square",-0.361587166786,-0.5492182374,0.0368676,0.0270498,0.0599820755102496,"CDM","e21547242197593",2
"148",147,"CDM_photodraw_e21548451296118_square.png","square",0.0206086039543,-0.420219182968,0.0291029,0.0458172,0.162758679664925,"CDM","e21548451296118",1
"149",148,"Tsinghua_photodraw_production1573785761327_square.png","square",-0.189909785986,-0.545860826969,0.033466,0.0584057,0.117328965312677,"Tsinghua","production1573785761327",2
"150",149,"Tsinghua_photodraw_production1577085371906_square.png","square",-0.191698908806,-0.825896799564,0.0323204,0.0199102,0.0748857879692518,"Tsinghua","production1577085371906",4
"151",150,"Tsinghua_photodraw_production1576738027913_square.png","square",-0.165809422731,-0.675850093365,0.0254432,0.00292955,0.0846038042641364,"Tsinghua","production1576738027913",3
"152",151,"CDM_photodraw_e21550698482522_square.png","square",-0.294350296259,-0.897893249989,0.00783355,0.00973003,0.0588538488675832,"CDM","e21550698482522",4
"153",152,"Tsinghua_photodraw_production1575961493402_square.png","square",-0.227443620563,-0.845228910446,0.0205112,0.0200605,0.0681545552214466,"Tsinghua","production1575961493402",4
"154",153,"CDM_photodraw_e21547844653939_square.png","square",-0.528215944767,-0.852044522762,0.00748714,0.0290176,0.0481446003537106,"CDM","e21547844653939",4
"155",154,"Tsinghua_photodraw_production1575356102513_square.png","square",-0.0928501933813,-0.284579694271,0.00355317,0.0265266,0.0226311583063055,"Tsinghua","production1575356102513",1
"156",155,"Tsinghua_photodraw_production1577084893527_square.png","square",-0.321001440287,-0.602277874947,0.00659059,0.0134218,0.0210352545660166,"Tsinghua","production1577084893527",3
"157",156,"Tsinghua_photodraw_production1577171554498_square.png","square",-0.234264552593,-0.757724821568,0.0515427,0.00768141,0.0534899951412539,"Tsinghua","production1577171554498",3
"158",157,"Tsinghua_photodraw_production1575358618898_square.png","square",-0.203858211637,-0.856752753258,0.0446028,0.0154702,0.0562877542166818,"Tsinghua","production1575358618898",4
"159",158,"CDM_photodraw_e21544647022478_square.png","square",-0.199633657932,-0.558984398842,0.0138407,0.0257472,0.0559366119867682,"CDM","e21544647022478",2
"160",159,"Tsinghua_photodraw_production1578968887739_square.png","square",-0.114816501737,-0.714029490948,0.00785976,0.0274075,0.0971675648409821,"Tsinghua","production1578968887739",3
"161",160,"Tsinghua_photodraw_production1575961442866_square.png","square",-0.262582868338,-0.786087334156,0.0139196,0.00685423,0.0554034876196277,"Tsinghua","production1575961442866",4
"162",161,"Tsinghua_photodraw_production1576136360732_square.png","square",-0.241670250893,-0.686143219471,0.0202552,0.0217584,0.0885505565550945,"Tsinghua","production1576136360732",3
"163",162,"CDM_photodraw_e21556226883192_square.png","square",-0.217678934336,-0.751868665218,0.0178519,0.0248765,0.0892518953847001,"CDM","e21556226883192",3
"164",163,"CDM_photodraw_e21547230596884_square.png","square",-0.20756714046,-0.551257252693,0.00034422,0.0282644,0.0442736853730964,"CDM","e21547230596884",2
"165",164,"CDM_photodraw_e21553889536940_square.png","square",-0.29702141881,-0.798175513744,0.00990555,0.0244494,0.0596107281959108,"CDM","e21553889536940",3
"166",165,"CDM_photodraw_e21543432563054_square.png","square",-0.271775066853,-0.653229773045,0.0570512,0.0404849,0.0210859579502147,"CDM","e21543432563054",3
"167",166,"Tsinghua_photodraw_production1577171766191_square.png","square",-0.127798244357,-0.608528137207,0.00481015,0.0496073,0.0662658678999193,"Tsinghua","production1577171766191",3
"168",167,"Tsinghua_photodraw_production1575529582167_square.png","square",-0.349819809198,-0.613295376301,0.00121915,0.0078464,0.0282594755821301,"Tsinghua","production1575529582167",3
"169",168,"CDM_photodraw_e21540577320461_square.png","square",-0.0548415370286,-0.800238370895,0.0155963,0.00856375,0.0775135971247685,"CDM","e21540577320461",4
"170",169,"CDM_photodraw_e21545255476223_square.png","square",-0.196400091052,-0.698710858822,0.0377827,0.00462754,0.0686664084445647,"CDM","e21545255476223",3
"171",170,"Tsinghua_photodraw_production1573779087653_square.png","square",-0.289723604918,-0.615935504436,0.0737012,0.0178607,0.0574128797989582,"Tsinghua","production1573779087653",3
"172",171,"CDM_photodraw_e21547061122742_square.png","square",-0.522804260254,-0.673615038395,0.0104775,0.0266602,0.0467691664474323,"CDM","e21547061122742",3
"173",172,"CDM_photodraw_e21547062251659_square.png","square",-0.206470668316,-0.4746055305,0.140194,0.0578437,0.0432653912730454,"CDM","e21547062251659",2
"174",173,"CDM_photodraw_e21542049475400_square.png","square",-0.412903219461,-0.652982831001,0.00819296,0.0223932,0.0499365242777068,"CDM","e21542049475400",3
"175",174,"CDM_photodraw_e21541008354503_square.png","square",-0.328319936991,-0.855150341988,0.0109966,0.0211596,0.0597077249190696,"CDM","e21541008354503",4
"176",175,"CDM_photodraw_e21547663022993_square.png","square",-0.0952450111508,-0.439878612757,0.0127254,0.0596282,0.0312082775958458,"CDM","e21547663022993",2
"177",176,"CDM_photodraw_e21548106388954_square.png","square",-0.249855369329,-0.728120326996,0.0423549,0.04585,0.0421968951187441,"CDM","e21548106388954",3
"178",177,"Tsinghua_photodraw_production1573778817054_square.png","square",-0.0134678836912,-0.235757008195,0.365168,0.0701985,0.105874528850553,"Tsinghua","production1573778817054",0
"179",178,"CDM_photodraw_e21555531146821_square.png","square",-0.303860098124,-0.758393585682,0.0186319,0.0232328,0.0459695827396708,"CDM","e21555531146821",3
"180",179,"Tsinghua_photodraw_production1575356878513_square.png","square",-0.371844947338,-0.879975736141,0.00905723,0.0047463,0.0438175371224754,"Tsinghua","production1575356878513",4
"181",180,"CDM_photodraw_e21548107987673_square.png","square",-0.242650926113,-0.786936879158,0.0137448,0.0183155,0.0637739696178546,"CDM","e21548107987673",3
"182",181,"Tsinghua_photodraw_production1576565958996_square.png","square",-0.058297868818,-0.85499727726,0.00839175,0.00520136,0.069415126049606,"Tsinghua","production1576565958996",4
"183",182,"Tsinghua_photodraw_production1575443826068_square.png","square",-0.152515083551,-0.346888810396,0.00120721,0.0238137,0.00108195998914612,"Tsinghua","production1575443826068",1
